LOCAL_IP: 192.168.103.124
FIRST_TS: 1779412536.700578

   0.000s | DNS Query       | ty6-wxt-jp.bcld.webex.com                               | 192.168.103.124 -> 64.104.14.184
   0.121s | TLS ClientHello | ty6-wxt-jp.bcld.webex.com                               | 192.168.103.124 -> 135.84.169.185:443
   2.866s | DNS Query       | ty01.stun-jp.bcld.webex.com                             | 192.168.103.124 -> 64.104.14.184
   2.868s | DNS Query       | stun51a-jp.bcld.webex.com                               | 192.168.103.124 -> 64.104.14.184
   2.871s | DNS Query       | stun50a-jp.bcld.webex.com                               | 192.168.103.124 -> 64.104.14.184
  44.976s | DNS Query       | login.live.com                                          | 192.168.103.124 -> 64.104.14.184
  45.030s | TLS ClientHello | login.live.com                                          | 192.168.103.124 -> 20.190.166.68:443
  59.571s | DNS Query       | apheleia-a.wbx2.com                                     | 192.168.103.124 -> 64.104.14.184
  59.784s | TLS ClientHello | apheleia-a.wbx2.com                                     | 192.168.103.124 -> 170.72.245.206:443
  65.815s | DNS Query       | login.microsoftonline.com                               | 192.168.103.124 -> 64.104.14.184
  65.858s | TLS ClientHello | login.microsoftonline.com                               | 192.168.103.124 -> 20.190.141.32:443
  67.785s | DNS Query       | wdm-a.wbx2.com                                          | 192.168.103.124 -> 64.104.14.184
  67.989s | DNS Query       | idbroker-sg.webex.com                                   | 192.168.103.124 -> 64.104.14.184
  68.002s | TLS ClientHello | wdm-a.wbx2.com                                          | 192.168.103.124 -> 170.72.245.235:443
  68.262s | TLS ClientHello | idbroker-sg.webex.com                                   | 192.168.103.124 -> 170.72.237.117:443
  72.290s | DNS Query       | ds.ciscospark.com                                       | 192.168.103.124 -> 64.104.14.184
  72.389s | TLS ClientHello | ds.ciscospark.com                                       | 192.168.103.124 -> 170.72.237.4:443
 115.475s | DNS Query       | u2c.wbx2.com                                            | 192.168.103.124 -> 64.104.14.184
 115.640s | TLS ClientHello | u2c.wbx2.com                                            | 192.168.103.124 -> 170.72.250.85:443
 116.896s | DNS Query       | u2c-a.wbx2.com                                          | 192.168.103.124 -> 64.104.14.184
 117.110s | TLS ClientHello | u2c-a.wbx2.com                                          | 192.168.103.124 -> 170.72.245.19:443
 118.383s | DNS Query       | settings-service-a.wbx2.com                             | 192.168.103.124 -> 64.104.14.184
 118.603s | TLS ClientHello | settings-service-a.wbx2.com                             | 192.168.103.124 -> 170.72.245.84:443
 130.270s | DNS Query       | developer-applications-a.wbx2.com                       | 192.168.103.124 -> 64.104.14.184
 130.307s | DNS Query       | identity-sg.webex.com                                   | 192.168.103.124 -> 64.104.14.184
 130.401s | DNS Query       | mercury-connection-partition0-a.wbx2.com                | 192.168.103.124 -> 64.104.14.184
 130.429s | DNS Query       | contacts-service-a.wbx2.com                             | 192.168.103.124 -> 64.104.14.184
 130.474s | DNS Query       | conv-a.wbx2.com                                         | 192.168.103.124 -> 64.104.14.184
 130.479s | TLS ClientHello | developer-applications-a.wbx2.com                       | 192.168.103.124 -> 170.72.245.148:443
 130.511s | DNS Query       | jabber-integration-a.wbx2.com                           | 192.168.103.124 -> 64.104.14.184
 130.512s | DNS Query       | avatar-a.wbx2.com                                       | 192.168.103.124 -> 64.104.14.184
 130.525s | TLS ClientHello | identity-sg.webex.com                                   | 192.168.103.124 -> 170.72.237.218:443
 130.617s | TLS ClientHello | mercury-connection-partition0-a.wbx2.com                | 192.168.103.124 -> 170.72.245.159:443
 130.641s | DNS Query       | prod-achm-general.svc.webex.com                         | 192.168.103.124 -> 64.104.14.184
 130.651s | TLS ClientHello | contacts-service-a.wbx2.com                             | 192.168.103.124 -> 170.72.245.46:443
 130.690s | TLS ClientHello | conv-a.wbx2.com                                         | 192.168.103.124 -> 170.72.245.29:443
 130.721s | TLS ClientHello | jabber-integration-a.wbx2.com                           | 192.168.103.124 -> 170.72.245.46:443
 130.721s | TLS ClientHello | avatar-a.wbx2.com                                       | 192.168.103.124 -> 170.72.245.78:443
